Course Number,Course Title,,,,ABG,AGS,AMG,EEO,HP,IX,MAT,MDR,NTHS,program,OPS,PAM,PTK,PRS,PTE,PB,SALUTE,SCE,SKD
APT A146,Advanced Aircraft & Engines,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A150,Aircraft Dispatcher,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A151,Unmanned Aircraft Systems Lab,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A152,UAS Advanced Lab,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A160,Introduction to UAS Automation,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A180,Basic Air Transportatn,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A192,Human Factors and Crew Resource Management,,,,X,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A291,Dir Study,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A292,Dir Study,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A293,Dir Study,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A294,Dir Study,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
APT A295,Dir Study,,,,,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
ARCH A101,Intro Environ Sustainability,,,,X,X,,,,,,,X,"1.2, 3.1",,,X,,X,,X,,
ARCH A102,Introduction to Environmental Studies,,,,X,X,,,,,,,X,"1.2, 3.1",,,X,,X,,X,,
ARCH A104,Intro FrameCAD Steel Framing,,,,X,X,,,,,,,X,3.90,,,X,,X,,X,,
ARCH A105,Drawing/Design Visualization 1,,,,X,X,,,,,,,X,"3.1, 11.6",,,X,,X,,X,,
ARCH A106,Accessory Dwelling Unit Design,,,,X,X,,,,,,,X,"3.1, 3.3, 3.4, 3.5, 11.6",,,X,,X,,X,,
ARCH A107,Tiny House Design,,,,X,X,,,,,,,X,"3.1, 3.3, 3.4, 3.5, 11.6",,,X,,X,,X,,
ARCH A108,Solar Panels for Small Project,,,,X,X,,,,,,,X,3.40,,,X,,X,,X,,
ARCH A110,Introduction to Architecture,,,,X,X,,,,,,,X,3.1,,,X,,X,,X,,
ARCH A110H,Introduction to Architecture Honors,,,,X,X,,,X,,,,X,3.1,,,X,,X,,X,,
