Course Number,Course Title,,,,ABG,AGS,AMG,EEO,HP,IX,MAT,MDR,NTHS,program,OPS,PAM,PTK,PRS,PTE,PB,SALUTE,SCE,SKD
CIS A193,Network Infrastructure Administration,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A194,Network Directory Services Administration,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A196,Network Enterprise Administration,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A197,Introduction to Networking (Cisco 1),,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A198,Routing & Switching Essentials (Cisco 2),,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A199,Current Topics in Computer Applications,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A223,Front-End Development 1,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A227,Front-End Development 2,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A232,Digital Video for Business: Adobe Premiere Pro,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A234,Excel 2,,,,X,X,,,,,,,X,"7.3, 10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A234H,Excel 2 Honors,,,,X,X,,,X,,,,X,"7.3, 10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A261,Fundamentals of Wireless Networking,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A262,Fundamentals of Voice over IP Protocols,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A263,Introduction to the Internet of Things,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A265,Enterprise Router Configurations 1,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A267,Scaling Networks - Cisco 3,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A268,Connecting Networks - Cisco 4,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A280,Information and Storage Management,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A281,Cloud Infrastructure & Services,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A282,Ethical Hacking and Network Defense,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A285,"VMware View: Installation, Configuration & Management",,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A286,"VMware vSphere: Installation, Configuration & Management",,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A290,Small Office / Home Office: Case Study I,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A292,Dir Study,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A293,Dir Study,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CIS A294,Dir Study,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
COMM C1000,Introduction to Public Speaking ,,(formerly CMST A110),,X,X,,,,,,,X,11.8,,,X,,,,X,,
CMST A100,Interpersonal Communication,,,,X,X,,,,,,,X,11.8,,,X,,,,X,X,
CMST A105,Intrapersonal Communication,,,,X,X,,,,,,,X,11.8,,,X,,,,X,X,
CMST A109,Social Media Strategies,,,,X,X,,,,,,,X,"9.1, 11.8",,,X,,,,X,X,
COMM A110,Introduction Public Speaking,,,,X,X,,,,,,,X,11.8,,,X,,,,X,X,
CMST A110,Public Speaking,,,,X,X,,,,,,,X,11.8,,,X,,,,X,X,
CMST A120,Readers Theatre Oral Interp,,,,X,X,,,,,,,X,11.7,,,X,,,,X,X,
CMST A150,Forensics Workshop,,,,X,X,,,,,,,X,11.8,,,X,,,,X,X,
CMST A155,Intercultural Communication,,,,X,X,,,,,,,X,11.8,,,X,,,,X,X,
CMST A165,"Men, Women & Communication",,,,X,X,,,,,,,X,11.8,X,,X,,,,X,X,
CMST A170,Nonverbal Communication,,,,X,X,,,,,,,X,11.8,,,X,,,,X,X,
CMST A180,Intro to Mass Communications,,,,X,X,,,,,,,X,11.8,,,X,,,,X,X,
CMST A185,Public Relations,,,,X,X,,,,,,,X,11.8,,,X,,,,X,X,
CMST A220,Essentials of Argumentation,,,,X,X,,,,,,,X,11.8,,,X,,,,X,X,
CMST A236,Direct Practice Soc Med Strat,,,,X,X,,,,,,,X,11.8,,,X,,,,X,X,
CMST A240,Media Literacy,,,,X,X,,,,,,,X,11.8,,,X,,,,X,X,
CMST A260,Organizational Communication,,,,X,X,,,,,,,X,11.8,,,X,,,,X,X,
CMST A291,Directed Study,,,,X,X,,,,,,,X,11.8,,,X,,,,X,,
CMST A292,Directed Study,,,,X,X,,,,,,,X,11.8,,,X,,,,X,,
CMST A293,Directed Study,,,,X,X,,,,,,,X,11.8,,,X,,,,X,,
CMST A294,Directed Study,,,,X,X,,,,,,,X,11.8,,,X,,,,X,,
CMST A295,Directed Study,,,,X,X,,,,,,,X,11.8,,,X,,,,X,,
CNST A100,Principles of Construction,,,,X,X,,,,,,,X,3.3,,,X,,,,X,,
CNST A108,Solar Panels for Small Project,,,,X,X,,,,,,,X,,,,X,,,,X,,
CNST A110,Wood Technology I,,,,X,X,,,,,,,X,,,,X,,,,X,,
CNST A112,Stair Framing,,,,X,X,,,,,,,X,3.3,,,X,,,,X,,
CNST A114,Cabinet Making,,,,X,X,,,,,,,X,3.2,,,X,,,,X,,
CNST A116,Furniture Making/Design,,,,X,X,,,,,,,X,3.2,,,X,,,,X,,
CNST A125,Additions and Remodeling,,,,X,X,,,,,,,X,3.2,,,X,,,,X,,
CNST A150,Electronics For Electricians,,,,,X,,,,,,,X,"3.4, 3.5",,,X,,,,X,,
CNST A154,Drywall & Taping,,,,X,X,,,,,,,X,3.3,,,X,,,,X,,
CNST A155,Intro to Home Automation,,,,,X,,,,,,,X,3.3,,,X,,,,X,,
CNST A156,National Electrical Code,,,,,X,,,,,,,X,"3.4, 3.5",,,X,,,,X,,
CNST A157,Photovoltaic System Installation,,,,,X,,,,,,,X,"3.4, 3.5",,,X,,,,X,,
CNST A158,PV Installation II,,,,,X,,,,,,,X,"3.4, 3.5",,,X,,,,X,,
CNST A161,Solar Water and Pool Heating Installation,,,,,X,,,,,,,X,"3.4, 3.5",,,X,,,,X,,
CNST A165,Constr Safety-CAL/OSHA,,,,X,X,,,,,,,X,3.3,,,X,,,,X,,
CNST A170,Introduction to Construction,,,,X,X,,,,,,,X,3.3,,,X,,,,X,,
CNST A180,Building Construction 1,,,,X,X,,,,,,,X,3.3,,,X,,,,X,,
CNST A185,Building Construction 2,,,,X,X,,,,,,,X,3.3,,,X,,,,X,,
CNST A189,Blueprint Reading,,,,,X,,,,,,,X,3.3,,,X,,,,X,,
CNST A190,Blueprnt Readng & Draft,,,,X,X,,,,,,,X,"3.1, 3.3",,,X,,,,X,,
CNST A194,Introduction to Building Codes,,,,,X,,,,,,,X,"3.1, 3.3",,,X,,,,X,,
CNST A195,Residential Code,,,,X,X,,,,,,,X,"3.1, 3.3",,,X,,,,X,,
CNST A196,Green Building Codes,,,,X,X,,,,,,,X,"3.1, 3.3",,,X,,,,X,,
CNST A197,California Energy Code,,,,X,X,,,,,,,X,"3.1, 3.3",,,X,,,,X,,
CNST A198,Energy Audit,,,,X,X,,,,,,,X,"3.1, 3.3",,,X,,,,X,,
CNST A199,Current Topics in Construction Technology,,,,,X,,,,,,,X,"3.1, 3.3",,,X,,,,X,,
CNST A209,Concrete Flatwork,,,,,X,,,,,,,X,"3.1, 3.3",,,X,,,,X,,
CNST A210,Concrete Construction,,,,X,X,,,,,,,X,"3.1, 3.3",,,X,,,,X,,
CNST A211,Decorative Concrete,,,,X,X,,,,,,,X,"3.1, 3.3",,,X,,,,X,,
CNST A220,Construction Estimating,,,,X,X,,,,,,,X,"3.1, 3.3",,,X,,,,X,,
CNST A225,Land and Building Development,,,,X,X,,,,,,,X,"3.1, 3.3",,,X,,,,X,,
CNST A230,Construction Inspection,,,,X,X,,,,,,,X,"3.1, 3.3",,,X,,,,X,,
CNST A240,Specialty Trades,,,,X,X,,,,,,,X,"3.1, 3.3",,,X,,,,X,,
CNST A241,Finish Carpentry,,,,,X,,,,,,,X,"3.1, 3.3",,,X,,,,X,,
CNST A250,Const Supv & Proj Mgmt,,,,X,X,,,,,,,X,"3.1, 3.3",,,X,,,,X,,
CNST A252,Business Law for Contractors,,,,X,X,,,,,,,X,"3.1, 3.3",,,X,,,,X,,
CNST A260,Masonry Construction,,,,X,X,,,,,,,X,"3.1, 3.3, 3.8",,,X,,,,X,,
CNST A261,Masonry Construction II,,,,,X,,,,,,,X,"3.1, 3.3, 3.8",,,X,,,,X,,
CNST A265,Plumbing 1,,,,X,X,,,,,,,X,"3.1, 3.3, 3.10",,,X,,,,X,,
CNST A266,Plumbing 2,,,,X,X,,,,,,,X,"3.1, 3.3, 3.10",,,X,,,,X,,
CNST A270,Contrator'S License Law,,,,X,X,,,,,,,X,"3.1, 3.3",,,X,,,,X,,
CNST A275,Residential Elec Wiring,,,,X,X,,,,,,,X,"3.1, 3.3, 3.4",,,X,,,,X,,
CNST A285,Light Steel Frame Const,,,,X,X,,,,,,,X,"3.1, 3.3, 3.9",,,X,,,,X,,
CNST A291,Dir Study,,,,X,X,,,,,,,X,"3.1, 3.3",,,X,,,,X,,
CNST A292,Dir Study,,,,X,X,,,,,,,X,"3.1, 3.3",,,X,,,,X,,
CNST A293,Dir Study,,,,X,X,,,,,,,X,"3.1, 3.3",,,X,,,,X,,
CNST A294,Dir Study,,,,X,X,,,,,,,X,"3.1, 3.3",,,X,,,,X,,
CNST A295,Dir Study,,,,X,X,,,,,,,X,"3.1, 3.3",,,X,,,,X,,
COS A105,Dsgn Careers/Lifestyles,,,,X,X,,,,,,,X,9.3,,,X,,,,X,,
COS A180,Life Management,,,,X,X,,,,,,,X,12.4,,,X,,,,X,,
COUN A100,Introduction to College,,,,,X,,,,,,,,,,,X,,,,X,,
COUN A101,New Horizons for Adults Returning to College,,,,,X,,,,,,,,,,,X,,,,X,,
COUN A104,Career/Life Planng:Holistic,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
COUN A105,Strategies for College Success,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
COUN A107,Chicana/o Latina/o Exp Hgr Ed,,,,,X,,,,,,,,,,,X,,,,X,,
COUN A107H,Chican@ Latin@ ExpHgrEd Honors,,,,,X,,,X,,,,,,,,X,,,,X,,
COUN A109,Developing and Understanding Happiness,,,,,X,,,,,,,,,,,X,,,,X,,
COUN A110,Applied Stress Management,,,,,X,,,,,,,,,,,X,,,,X,,
COUN A120,Career Decisn Making/Accleratd,,,,,X,,,,,,,,,,,X,,,,X,,
COUN A125,Job Search Strategies/Agility,,,,X,X,,,,,,,X,12.4,,,X,,,,X,,
COUN A135,Effective Parenting,,,,,X,,,,,,,,,,,X,,,,X,,
COUN A170,College Major Search,,,,,X,,,,,,,,,,,X,,,,X,,
COUN A199,Topics In Counseling,,,,,X,,,,,,,,,,,X,,,,X,,
COUN A205,Transfer Success Seminar,,,,,X,,,,,,,,,,,X,,,,X,,
COUN A291,Dir Study,,,,,X,,,,,,,X,12.40,,,X,,,,X,,
COUN A292,Dir Study,,,,,X,,,,,,,X,12.40,,,X,,,,X,,
COUN A293,Dir Study,,,,,X,,,,,,,X,12.4,,,X,,,,X,,
CS A131,Python Programming I,,,,,X,,,,X,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CS A140,Introduction to C#.NET Programming,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CS A150,C++ Programming 1,,,,X,X,,,,X,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CS A170,Java Programming 1,,,,X,X,,,,X,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CS A200,Data Structures,,,,X,X,,,,X,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CS A216,Computer Architecture,,,,X,X,,,,X,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CS A220,Software Engineering,,,,,X,,,,X,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CS A231,Python Programming II,,,,,X,,,,X,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CS A250,C++ Programming 2,,,,X,X,,,,X,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CS A253,Principles in System Design,,,,,X,,,,X,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CS A253L,Principles in System Dsgn Lab,,,,,X,,,,X,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CS A255,Cybersecurity Foundations,,,,,X,,,,X,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CS A257,Boolean Algebra and Logic,,,,,X,,,,X,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CS A262,Discrete Structures,,,,,X,,,,X,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CS A263,Probability & Stats for CS,,,,,X,,,,X,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CS A272,Java Programming 2,,,,X,X,,,,X,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CS A273,Mobile Application Development in Android,,,,X,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CS A280,Current Topics in Computing,,,,,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CS A291,Dir Study,,,,,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CS A294,Dir Study,,,,,X,,,,,,,X,"10.2, 10.3, 10.4, 10.5, 10.7, 10.8, 10.9",,,X,,,,X,,
CVT A100,Introduction to Electrocardiography,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CVT A130,Intro Invasive Cardiolo,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CVT A150,Advanced Electrocardiograp,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CVT A160,Cardiac Anatomy/Pathophysiology,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CVT A170,ECG Clinical Experience,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CVT A190,Intro to Sonography/Imaging,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CVT A200,Introduction to Echocardiography,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CVT A205,Introduction to Echocardiography Lab,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CVT A210,Echocardiography Clinical Lab 1,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CVT A220,Ultrasound Sonographic Physics and Instrumentation,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CVT A224,Echocardiography Clinical Lab2,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CVT A250,Adv Echocardiography,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CVT A255,Adv Echocardiography Lb,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CVT A260,Cerebro/Periphrl Ultrasound,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CVT A265,Echo Clinical Lab 3,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CVT A291,Dir Study,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CVT A292,Dir Study,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CVT A293,Dir Study,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CVT A294,Dir Study,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
CVT A295,Dir Study,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
DA A100,Dental Anatomy,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
DA A101,Patient Care for Dental Assist,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
DA A110,Chairside Techniques 1,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
DA A115,Chairside Techniques 2,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
DA A120,Dental Materials,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
DA A125,Expanded Functions,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
DA A130,Preventive and Community Dentistry,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
DA A140,Dental Radiography 1,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
DA A145,Specialized Practices,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
DA A150,Biomedical Sciences,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
DA A160,Clinical Experience 1,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
DA A163,Clinical Experience 2,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
DA A165,Clinical Experience 3,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
DA A168,Clinical Experience 4,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
DA A175,Prin of Bus & Prac Mgmt,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
DA A291,Dir Study,,,,,X,,,,,,,,,,,X,,,,X,,
DA A292,Dir Study,,,,,X,,,,,,,,,,,X,,,,X,,
DA A293,Dir Study,,,,,X,,,,,,,,,,,X,,,,X,,
DA A294,Dir Study,,,,,X,,,,,,,,,,,X,,,,X,,
DA A295,Dir Study,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A101,Modern Dance 1,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A102,Modern Dance 2,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A106,Strength and Stretch,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A107,Conditioning for Dance,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A108,Pilates Mat Work,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A110,Ballet 1,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A111,Ballet 2,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A113,Pointe Work,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A114,Ballet Floor Barre,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A115,Yoga For Dancers,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A116,Latin Dance Styles I,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A117,American Social Dance Styles,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A118,Movement for Longevity,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A119,Kinesiology For Dance,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A120,Jazz Dance 1,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A121,Jazz Dance 2,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A125,Tap 1,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A126,Tap 2,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A129,Pilates Methodology,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A130,Mid-Eastern Dance 1,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A135,Flamenco Dance 1,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A138,African Dance and Drumming I,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A139,Gyrokinesis,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A143,Jazz Dance III,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A144,Ballet III,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A145,Modern Dance III,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A146,Tap III,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A147,Flamenco Dance 2,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A148,Mid-Eastern Dance 2,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A149,Hip-Hop Dance I,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A150,Dance Improvisation I,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A151,Pilates as a Profession,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A152,Pilates Apparatus 1,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A153,Pilates Apparatus 2,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A154,Contemp Commercial Dance,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A155,Latin Dance Styles II,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A156,Polynesian Dance,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A157,Polynesian Dance 2,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A158,African Dance and Drumming II,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A159,Hip-Hop Dance II,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A160,Dance Composition/Choreography I,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A162,Dance Composition/Choreography II,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A165,Latin Dance Styles III,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A168,African Dance and Drumming III,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A169,Hip-Hop Dance III,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A170,Music for Dancers,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A171,Modern Dance Basics,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A172,Ballet Dance Basics,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A173,Jazz Dance Basics,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A174,Tap Dance Basics,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A175,Mexican Folklórico Dance 1,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A176,Mexican Folklórico Dance 2,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A180,Dance Wellness & Injury Prev,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A191,Classical Technique/Variation,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A195,Summer Dance Workshop,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A199,Current Dance Topics,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A200,Appreciation of Dance,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A201,Rehearsal & Performance I,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A202,Rehearsal and Performance II,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A203,Performing Dance Ensemble I,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A204,Rehearsal and Performance III,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A205,Dance as a Profession Seminar,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A206,Movement and the Camera,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A207,Rehearsal and Performance IV,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A208,Pilates 3-4,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A209,Pilates Mat Work 2,,,,,X,,,,,,,,,,,X,,,,X,,
DANC A210,Dance Methodology,,,,,X,,,,,,,,,,,X,,,,X,,
